업종명,업소명,소재지(도로명),소재지(지번),소재지전화
일반음식점,골목식당,부산광역시 부산진구 가야대로784번길 46 (부전동),부산광역시 부산진구 부전동 516-3 ,051-803-3850
일반음식점,우정분식,부산광역시 부산진구 동천로85번길 3 (부전동),부산광역시 부산진구 부전동 168-365 ,051-803-0303
일반음식점,대서양식당,부산광역시 부산진구 부전로96번길 26 (부전동),부산광역시 부산진구 부전동 477-16 ,051-809-0190
일반음식점,동해물회,부산광역시 부산진구 서전로 15 (부전동),부산광역시 부산진구 부전동 142-5 ,051-809-3305
일반음식점,제일횟집,"부산광역시 부산진구 서면문화로 24 (부전동,,25 (1,2,3층))","부산광역시 부산진구 부전동 398-12 ,25 (1,2,3층) ",051-805-6290
일반음식점,급행장,부산광역시 부산진구 서면문화로 4 (부전동),부산광역시 부산진구 부전동 259-27 ,051-809-2100
일반음식점,남대문,"부산광역시 부산진구 부전로96번길 35 (부전동,,130,4,144)","부산광역시 부산진구 부전동 474-45 ,130,4,144 ",051-805-9191
일반음식점,장수국밥,"부산광역시 부산진구 새싹로29번길 8 (부전동,,30)","부산광역시 부산진구 부전동 401-23 ,30 ",051-804-2277
일반음식점,일송초밥,"부산광역시 부산진구 중앙대로691번길 52, 지상1층 (부전동)",부산광역시 부산진구 부전동 520-38 지상1층 ,051-805-3300
일반음식점,용궁해물탕,부산광역시 부산진구 서면문화로5번길 10 (부전동),부산광역시 부산진구 부전동 475-17 ,051-808-4711
일반음식점,동남갈비,부산광역시 부산진구 부전로96번길 35 (부전동),부산광역시 부산진구 부전동 474-129 ,051-804-3700
일반음식점,외식촌,"부산광역시 부산진구 중앙대로691번가길 24-7, 지상1-2층 (부전동)",부산광역시 부산진구 부전동 516-9 ,051-805-5464
일반음식점,남해수산횟집,부산광역시 부산진구 서면문화로 11-1 (부전동),부산광역시 부산진구 부전동 475-4 ,051-818-9898
일반음식점,중앙숯불갈비,부산광역시 부산진구 골드테마길 65 (범천동),부산광역시 부산진구 범천동 847-32 ,051-632-2008
일반음식점,하동재첩왕갈비,"부산광역시 부산진구 중앙대로743번길 25 (부전동,(1층))",부산광역시 부산진구 부전동 262-15 (1층) ,051-808-5668
일반음식점,청담,"부산광역시 부산진구 가야대로784번길 42, 지상1층 (부전동)",부산광역시 부산진구 부전동 516-2 지상1층 ,051-807-5555
일반음식점,남강면옥,부산광역시 부산진구 신천대로65번길 68 (범천동),부산광역시 부산진구 범천동 875-1 ,051-647-4165
일반음식점,춘하추동밀면,부산광역시 부산진구 서면문화로 48-1 (부전동),부산광역시 부산진구 부전동 404-3 ,051-809-8659
일반음식점,전통음식점 원양,부산광역시 부산진구 동평로420번길 23 (양정동),부산광역시 부산진구 양정동 393-2 ,051-864-0773
일반음식점,금룡만두,부산광역시 부산진구 중앙대로702번길 17-1 (부전동),부산광역시 부산진구 부전동 168-184 ,051-802-9168
일반음식점,본가낙지,부산광역시 부산진구 골드테마길 2-13 (범천동),부산광역시 부산진구 범천동 837-4 ,051-642-1041
일반음식점,가야돼지국밥,부산광역시 부산진구 가야대로454번길 11 (개금동),부산광역시 부산진구 개금동 177-282 ,051-892-5859
일반음식점,대동반점,부산광역시 부산진구 복지로13번길 14 (개금동),부산광역시 부산진구 개금동 177-326 ,051-893-8887
일반음식점,오쉐르웨딩홀.부페,부산광역시 부산진구 중앙대로775번길 5 (부전동),부산광역시 부산진구 부전동 341-5 ,051-811-2121
일반음식점,북해도,부산광역시 부산진구 중앙대로691번길 52 (부전동),부산광역시 부산진구 부전동 520-38 ,051-806-1585
일반음식점,언양식당,부산광역시 부산진구 가야대로588번길 13 (가야동),부산광역시 부산진구 가야동 275-4 ,051-898-6858
일반음식점,동보성,"부산광역시 부산진구 서면문화로 27 (부전동,유원O/T 지하102호, 101호)","부산광역시 부산진구 부전동 474-80 유원O/T 지하102호, 101호 ",051-816-1649
일반음식점,마당집,부산광역시 부산진구 부전로 69 (부전동),부산광역시 부산진구 부전동 512-23 ,051-806-8602
일반음식점,대서양식당,부산광역시 부산진구 부전로96번길 20 (부전동),부산광역시 부산진구 부전동 477-30 ,051-802-0909
일반음식점,함경면옥,부산광역시 부산진구 부전로66번길 32 (부전동),부산광역시 부산진구 부전동 516-42 ,051-891-3000
일반음식점,부산초밥,부산광역시 부산진구 부전로66번길 16 (부전동),부산광역시 부산진구 부전동 516-67 ,051-819-1688
일반음식점,옛날구포집,부산광역시 부산진구 황령대로7번길 16 (범천동),부산광역시 부산진구 범천동 858-53 ,051-631-7404
일반음식점,공감식당,"부산광역시 부산진구 동평로 81, 1층 (당감동)",부산광역시 부산진구 당감동 416-3 (1층) ,051-891-2041
일반음식점,진수밥상,"부산광역시 부산진구 백양관문로 111 (당감동,(1층))",부산광역시 부산진구 당감동 808 (1층) ,051-895-1511
일반음식점,(주)사미헌,"부산광역시 부산진구 서면문화로 19, 지하1~4층 (부전동)",부산광역시 부산진구 부전동 474-26 ,051-819-6677
일반음식점,사랑채,부산광역시 부산진구 월드컵대로472번길 24 (초읍동),부산광역시 부산진구 초읍동 308-10 ,051-805-3832
일반음식점,미락,부산광역시 부산진구 당감서로 90 (부암동),부산광역시 부산진구 부암동 505-1 ,051-809-8077
일반음식점,동해바다,부산광역시 부산진구 개금온정로17번길 38 (개금동),부산광역시 부산진구 개금동 207-15 ,051-896-1126
일반음식점,삼성횟집,부산광역시 부산진구 신천대로65번길 29 (범천동),부산광역시 부산진구 범천동 869-3 ,051-644-8693
일반음식점,백양돼지국밥,부산광역시 부산진구 백양관문로 84 (당감동),부산광역시 부산진구 당감동 792-12 ,051-898-0505
일반음식점,정가네합천돼지국밥,"부산광역시 부산진구 연수로11번길 57 (양정동,전원타워빌상가1층2호)",부산광역시 부산진구 양정동 145-12 전원타워빌상가1층2호 ,051-868-0071
일반음식점,백향만두,부산광역시 부산진구 당감로 118 (부암동),부산광역시 부산진구 부암동 560-14 ,051-816-6960
일반음식점,그집갈비탕,부산광역시 부산진구 동평로406번길 39 (양정동),부산광역시 부산진구 양정동 389-9 ,051-866-0009
일반음식점,다원정,부산광역시 부산진구 서면문화로 23-1 (부전동),부산광역시 부산진구 부전동 474-31 ,051-808-3800
일반음식점,일품정가,부산광역시 부산진구 가야대로703번길 25 (당감동),부산광역시 부산진구 당감동 69-7 ,051-891-9136
일반음식점,현대가든,부산광역시 부산진구 범양로125번길 12 (양정동),부산광역시 부산진구 양정동 507-22 ,051-852-8866
일반음식점,이조맷돌순두부,"부산광역시 부산진구 전포대로 214 (전포동,,49)","부산광역시 부산진구 전포동 309-8 ,49 ",051-808-2423
일반음식점,이바돔감자탕,부산광역시 부산진구 중앙대로 808 (전포동),부산광역시 부산진구 전포동 874-1 ,051-805-3330
일반음식점,태백관,부산광역시 부산진구 서전로9번길 52 (부전동),부산광역시 부산진구 부전동 98-10 ,051-806-9197
일반음식점,육장인,"부산광역시 부산진구 서전로10번길 45-6, 지상1-2층 (부전동)",부산광역시 부산진구 부전동 168-457 지상1-2층 ,051-809-0013
일반음식점,삼부식당,부산광역시 부산진구 시민공원로19번길 53-7 (부암동),부산광역시 부산진구 부암동 74-3 ,051-816-2003
일반음식점,자갈마당,부산광역시 부산진구 새싹로29번길 14-12 (부전동),부산광역시 부산진구 부전동 401-11 ,051-807-9289
일반음식점,북경,부산광역시 부산진구 시민공원로19번길 32-5 (부암동),부산광역시 부산진구 부암동 80-26 ,051-807-6709
일반음식점,아웃백스테이크하우스서면점,"부산광역시 부산진구 중앙대로 672, 서면피에스타 6층 606호 (부전동)",부산광역시 부산진구 부전동 227-2 서면피에스타 ,051-520-3770
일반음식점,월강,"부산광역시 부산진구 서면로 7, 월강빌딩 1,2,3,4층 (부전동)",부산광역시 부산진구 부전동 533-10 월강빌딩 ,051-806-2500
일반음식점,도마위에 암소,부산광역시 부산진구 서면문화로 48 (부전동),부산광역시 부산진구 부전동 404-5 ,051-805-0073
일반음식점,하대승담양갈비 가야점,부산광역시 부산진구 가야대로 597 (가야동),부산광역시 부산진구 가야동 56-2 ,051-895-3392
일반음식점,돌쇠본가,부산광역시 부산진구 성지곡로12번길 25 (초읍동),부산광역시 부산진구 초읍동 102-4 ,051-804-7980
일반음식점,진가네추어탕,"부산광역시 부산진구 백양순환로 9, 1층 (당감동, 동남주상복합아파트)",부산광역시 부산진구 당감동 623-2 ,051-891-4458
일반음식점,S서울깍뚜기,부산광역시 부산진구 서전로 49 (전포동),부산광역시 부산진구 전포동 665-3 ,051-816-3950
일반음식점,정가네남도밥상,"부산광역시 부산진구 중앙대로 786, 101동 2층 203,204,205,206호 (전포동, 에메랄드홈)",부산광역시 부산진구 전포동 876-4 에메랄드홈 ,051-808-1238
일반음식점,아리한정식,"부산광역시 부산진구 가야대로 785 (부전동, 인제메디칼센터 2~3층)","부산광역시 부산진구 부전동 486-27 외2필지, 인제메디칼센터 2~3층 ",051-819-1323
일반음식점,소도둑당감점,"부산광역시 부산진구 백양관문로 109 (당감동,번지 외2필지)",부산광역시 부산진구 당감동 810-3 번지 외2필지 ,
일반음식점,세연정,"부산광역시 부산진구 가야대로 554, 1층 (가야동)",부산광역시 부산진구 가야동 221-2 ,051-867-2000
일반음식점,장승포바다장어구이,"부산광역시 부산진구 냉정로 202 (개금동,번지(1층))",부산광역시 부산진구 개금동 554-157 번지(1층) ,051-894-9996
일반음식점,초원가든,"부산광역시 부산진구 부전로 57, 지상1층 (부전동)",부산광역시 부산진구 부전동 514-1 지상1층 ,051-806-8878
일반음식점,강원삼계탕,"부산광역시 부산진구 개금온정로 10 (개금동,796-1개금롯데캐슬상가2동제지1층 B117,B118,B119)","부산광역시 부산진구 개금동 796 796-1개금롯데캐슬상가2동제지1층 B117,B118,B119 ",051-502-9116
일반음식점,외식일번가 부산진구점,"부산광역시 부산진구 신천대로 222, 2,3층 (부암동)","부산광역시 부산진구 부암동 123-6 (2,3층) ",051-816-0007
일반음식점,건양정홍삼삼계탕서면점,"부산광역시 부산진구 동성로 147 (전포동,외1필지(1.2층))",부산광역시 부산진구 전포동 878-20 외1필지(1.2층) ,051-817-3317
일반음식점,갤러리움웨딩홀부페,"부산광역시 부산진구 중앙대로969번길 11, c201호 (양정동,양정롯데갤러리움아파트(2층))",부산광역시 부산진구 양정동 273-1 양정롯데갤러리움아파트(2층) c201호,051-852-6776
일반음식점,명가조방낙지,"부산광역시 부산진구 중앙대로666번길 50, 상가동 지하2층 비203호 (부전동, 더샾센트럴스타)",부산광역시 부산진구 부전동 537-9 더샾센트럴스타 상가동 비203호,051-932-5945
일반음식점,더스타,"부산광역시 부산진구 중앙대로666번길 50 (부전동,센트럴스타 상가동204,205,206호(지하2층))","부산광역시 부산진구 부전동 537-9 센트럴스타 상가동204,205,206호(지하2층) ",051-918-8000
일반음식점,명동보쌈갈비,"부산광역시 부산진구 중앙대로666번길 50, 지하2층 203호 (부전동, 더샾센트럴스타)",부산광역시 부산진구 부전동 537-9 더샾센트럴스타 지하2층 상가동 203호,051-932-5051
일반음식점,조방낙지초읍점,"부산광역시 부산진구 성지곡로 17 (초읍동, 지상1층전체)",부산광역시 부산진구 초읍동 351-13 지상1층전체 ,051-804-8600
일반음식점,바다호호복국,"부산광역시 부산진구 서면문화로 26, 1층 (부전동)",부산광역시 부산진구 부전동 398-8 ,051-807-0009
일반음식점,정동진해물탕해물찜,"부산광역시 부산진구 서면문화로 37 (부전동, 정동진해물탕2~3층)","부산광역시 부산진구 부전동 406-14 외1필지, 지상2~3층 ",051-809-8208
